epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,5168.99,0.82715,1.43973,0.69859,1.06042,0,0.75709,0.68543,0.72276,0.4556,0.75999,0.68834,0.723,0.38081,1.22293,3.65254,1.059,1.32118,0,0.00038375,0.00038375,0.00038375
72,5241.98,0.82589,1.44868,0.68491,1.0614,0,0.75888,0.67241,0.72223,0.45171,0.76731,0.67833,0.72039,0.38137,1.28738,3.80102,1.05493,1.34347,0,0.000371375,0.000371375,0.000371375
73,5313.77,0.80373,1.40065,0.66127,1.05033,0,0.73033,0.7019,0.71085,0.46165,0.73865,0.70362,0.71168,0.39056,1.19427,3.47821,1.0364,1.29687,0,0.000359,0.000359,0.000359
74,5385.5,0.81895,1.42438,0.67231,1.04893,0,0.72979,0.69255,0.71185,0.46339,0.73205,0.68968,0.69503,0.37888,1.21276,3.82042,1.07889,1.33032,0,0.000346625,0.000346625,0.000346625
75,5456.63,0.79315,1.40276,0.64678,1.04363,0,0.74204,0.64258,0.70573,0.45034,0.75401,0.65102,0.70423,0.36575,1.20653,3.60769,1.06263,1.30623,0,0.00033425,0.00033425,0.00033425
76,5529.33,0.79519,1.39504,0.64856,1.04137,0,0.72577,0.69572,0.70978,0.45996,0.7313,0.69608,0.71122,0.38257,1.1789,3.48057,1.03856,1.30873,0,0.000321875,0.000321875,0.000321875
77,5602.25,0.79677,1.38757,0.64831,1.04623,0,0.71073,0.65775,0.69378,0.44726,0.72208,0.66444,0.69314,0.36116,1.19367,3.46669,1.05299,1.30122,0,0.0003095,0.0003095,0.0003095
78,5675.2,0.79722,1.39511,0.65104,1.04422,0,0.73128,0.66042,0.70084,0.45442,0.7315,0.6628,0.6989,0.37554,1.20337,3.50883,1.05713,1.31121,0,0.000297125,0.000297125,0.000297125
79,5747.71,0.7893,1.39419,0.63782,1.03702,0,0.72873,0.66598,0.71043,0.46569,0.73799,0.67397,0.69931,0.39235,1.16859,3.63989,1.04948,1.29194,0,0.00028475,0.00028475,0.00028475
80,5820.45,0.78629,1.39489,0.63646,1.04209,0,0.65203,0.75129,0.71359,0.46359,0.66168,0.76119,0.71844,0.38398,1.19672,3.51605,1.07877,1.31216,0,0.000272375,0.000272375,0.000272375
81,5893.57,0.7828,1.37572,0.63571,1.04129,0,0.72804,0.70031,0.7082,0.46124,0.74026,0.70926,0.70893,0.38562,1.20172,3.69319,1.05364,1.31437,0,0.00026,0.00026,0.00026
82,5965.99,0.77142,1.35126,0.61557,1.03169,0,0.69737,0.71802,0.69914,0.45918,0.71033,0.72475,0.70523,0.38192,1.20162,3.51868,1.07324,1.31351,0,0.000247625,0.000247625,0.000247625
83,6036.61,0.77821,1.35934,0.62125,1.03519,0,0.73176,0.71385,0.72148,0.47993,0.7383,0.72447,0.7265,0.40383,1.15747,3.76825,1.05024,1.28167,0,0.00023525,0.00023525,0.00023525
