epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,7156.77,0.83802,1.47706,0.72599,1.07282,0,0.73891,0.6788,0.71464,0.4688,0.74409,0.69097,0.71863,0.38586,1.23227,2.70324,1.05646,1.31964,0,0.0002971,0.0002971,0.0002971
73,7245.94,0.8424,1.47479,0.72774,1.07123,0,0.71741,0.70855,0.73223,0.47955,0.75203,0.67758,0.71933,0.38567,1.21079,2.69987,1.07253,1.30638,0,0.0002872,0.0002872,0.0002872
74,7333.46,0.84359,1.49029,0.73306,1.0755,0,0.76114,0.68327,0.7373,0.47526,0.7442,0.70711,0.72767,0.39896,1.22197,2.66417,1.02133,1.31716,0,0.0002773,0.0002773,0.0002773
75,7422.45,0.83076,1.4679,0.72257,1.0676,0,0.68843,0.72673,0.72961,0.4706,0.69183,0.73295,0.70968,0.3728,1.23056,2.76063,1.06054,1.30858,0,0.0002674,0.0002674,0.0002674
76,7510.64,0.83644,1.4746,0.71444,1.06958,0,0.7489,0.69522,0.73663,0.47955,0.74753,0.69546,0.71572,0.39085,1.22118,2.67771,1.05466,1.30825,0,0.0002575,0.0002575,0.0002575
77,7600.5,0.84374,1.46623,0.71541,1.07102,0,0.68211,0.71105,0.7289,0.47891,0.68706,0.71674,0.72869,0.39801,1.2071,2.79268,1.06004,1.28247,0,0.0002476,0.0002476,0.0002476
78,7690.34,0.8229,1.47155,0.70335,1.06379,0,0.70773,0.74616,0.75828,0.49027,0.71789,0.74514,0.73942,0.40884,1.18433,2.64029,1.02713,1.28958,0,0.0002377,0.0002377,0.0002377
79,7778.84,0.82719,1.46022,0.70842,1.06214,0,0.73715,0.72095,0.75415,0.50219,0.7326,0.72005,0.74349,0.4125,1.18823,2.75587,1.05087,1.29707,0,0.0002278,0.0002278,0.0002278
80,7867.83,0.81481,1.46038,0.69896,1.06011,0,0.71801,0.7152,0.73837,0.48446,0.70524,0.70604,0.71758,0.38772,1.18824,2.83391,1.05449,1.2808,0,0.0002179,0.0002179,0.0002179
81,7956.76,0.81246,1.42137,0.68688,1.05934,0,0.73519,0.71013,0.75114,0.5073,0.74384,0.69646,0.73458,0.40521,1.17379,2.74714,1.01505,1.28774,0,0.000208,0.000208,0.000208
